"Client Code","Client Code Description","Corva Code Type","Corva Code","NPT","Color"
"12","Intermediate","Well Sections","12""","No",""
"16","Intermediate","Well Sections","16""","No",""
"17","Intermediate","Well Sections","17""","No",""
"22","Surface","Well Sections","22""","No",""
"28","Surface","Well Sections","28""","No",""
"34","Conductor","Well Sections","34""","No",""
"5.875","Production","Well Sections","5.875""","No",""
"6","Production","Well Sections","6""","No",""
"8.375","Intermediate Curve","Well Sections","8.375""","No",""
"A","ACCIDENT","Activity","","No",""
"BOP","WORK WITH BOP","Operation","BOP","No",""
"BOP","BOP WORK","Activity","","No",""
"BOPT","BOP TESTING","Activity","","No",""
"BR","BACK REAMING","Activity","","No",""
"C","COMPLETION TIME","NPT Flag","","No",""
"CIRC","CIRCULATE & CONDITION MUD","Activity","Circulating","No",""
"CMC","CEMENT CASING","Activity","","No",""
"CMP","CEMENT PLUGS","Activity","","No",""
"COMM","COMMENCED OPERATIONS (ACTION)","Activity","","No",""
"COMP","RUN COMPLETION","Operation","CSGCMT","No",""
"CORE","CORING","Operation","","No",""
"CORE","CORING","Activity","","No",""
"CPT","CASED WELL TESTING","Activity","","No",""
"CSG","RUN AND CEMENT CASING","Operation","CSGCMT","No",""
"CT","HOLE CONDITIONING TRIP","Operation","","No",""
"D","DRILLING ROTARY AHEAD","Activity","Drilling","No",""
"DC","DRILLING CEMENT","Activity","Drilling","No",""
"DCG","CONTROLLED DRILLING BY GEOLOGY","Activity","Drilling","No",""
"DCOM","DECOMPLETION","Operation","","No",""
"DCP","DRIVING CONDUCTOR PIPE","Activity","","No",""
"DFS","DRILL FLOAT COLLAR AND SHOE","Activity","Drilling","No",""
"DHO","DRILL OPEN HOLE/UNDERREAM","Activity","Drilling","No",""
"DMR","MOTOR DRILLING - ROTARY","Activity","Drilling","No",""
"DMS","MOTOR DRILLING - SLIDING","Activity","Drilling","No",""
"DO","DRILLING - OTHER","Activity","Drilling","No",""
"DRLG","DRILLING","Operation","DRILL","No",""
"DRLS","SAFETY DRILLS","Activity","","No",""
"DTU","DRIFT TUBULAR WITH SLICKLINE","Activity","","No",""
"E","EVALUATION TIME","NPT Flag","","No",""
"EOW","EOW","Well Sections","Completion","No",""
"FISH","FISHING","Operation","FISH","No",""
"FISH","FISHING","Activity","","No",""
"FRAC","FRACTURING","Activity","","No",""
"GP","GRAVEL PACKING","Activity","","No",""
"HT","HANDLE TOOLS","Activity","","No",""
"KILL","WELL KILLING OP","Operation","","No",""
"KILL","KILLING THE WELL","Activity","","No",""
"LDP","LAY DOWN PIPE","Activity","","No",""
